dojo,ドウジョウ
student,ステューデント
blawny,ブラウニー
masterpeace,マスターピース
bluestone,ブルーストーン
boris,ボリス
brian,ブライアン
paul,ポール
kernighan,カーニハン
compuma,コンピューマ
tonk,トンク
rocket,ロケット
science,サイエンス
slump,スランプ
duck,ダック
little,リトル
brother,ブラザー
ecstasy,エクスタシー
of,オブ
theresa,テレース
elk,エルク
emyli,エミリ
verbal,ヴァーバル
erections,エレクションズ
ever,エヴァー
last,ラスト
joseph,ジョセフ
badaracco,バダラッコ
re,リ
presents,プレゼンツ
calm,カーム
merci,メルシー
lifestar,ライフスター
lionote,ライオノート
lisa,リサ
taylore,テイラー
lily,リリー
laulu,ラウル
linda,リンダ
with,ウィズ
rip,リップ
masters,マスターズ
eitaro,エイタロウ
ray,レイ
camp,キャンピ
koyanmusic,コヤンミュージック
james,ジェイムズ
carat,カラット
allstars,オールスターズ
the,ザ
bambu,バンブ
operation,オペレーション
olololop,オロロロピー
all,オール
stars,スターズ
city,シティー
adam,アダム
levine,レヴィーン
blackmore,ブラックモア
red,レッド
tiger,タイガー
easy,イージー
vinci,ヴィンチ
elmo's,エルモス
fire,ファイアー
blank,ブランク
steaven,スティーブン
rappaport,ラファポート
brainchild's,ブレインチャイルズ
c’yga,シイガ
lay,レイ
dyjecinski,ディーヤチンスキー
tenguy,テンガイ
jocelyn,ジョセリン
brown,ブラウン
loleatta,ロリータ
holloway,ハロウェイ
lunaticfest,ルナテックフェスト
wonder,ワンダー
age,エイジ
technoboys,テクノボーイズ
pulcraft,パルクラフト
green,グリーン
fund,ファンド
type,タイプ
wainwright’s,ウェインライツ
african,アフリカン
roots,ルーツ
jazz,ジャズ
psysex,サイセクス
inherit,インヘリット
rune,ルネ
north,ノース
object,オブジェクト
petit,プチ
when,ホエン
harry,ハリー
met,メット
sally,サリー
zill,ジル
o'll,オール
infinite,インフィニット
dis,ディス
lion,ライオン
dash,ダッシュ
fifth,フィフス
final,ファイナル
stage,ステージ
balance,バランス
unlimited,アンリミテッド
another,アナザ
psycho,サイコ
pass,パス
pass'e,パッセ
kindle,キンドル
lets,レッツ
yahoo,ヤフー
nifty,ニフティ
unix,ユニックス
baby,ベイビー
father,ファーザー
mother,マザー
love,ラブ
